Time,Time Reference,fc1HighImuValuesAccelX.value,fc1HighImuValuesAccelY.distinct,fc1HighImuValuesAccelZ.distinct,fc1LowImuValuesAccelX.distinct,fc1LowImuValuesAccelY.distinct,fc1LowImuValuesAccelZ.distinct
1.76514E+12,1.619,undefined,0.120029338,0.122931123,7.710400105,0.135664001,-0.129807994
1.76514E+12,1.663,8.813605309,undefined,undefined,undefined,undefined,undefined
1.76514E+12,1.683,8.983610153,undefined,undefined,undefined,undefined,undefined
1.76514E+12,1.714,8.87027359,undefined,undefined,undefined,undefined,undefined
1.76514E+12,1.719,undefined,0.063360989,-0.170180798,7.70844841,0.081008002,-0.052704003
1.76514E+12,1.749,8.87027359,undefined,undefined,undefined,undefined,undefined
1.76514E+12,1.769,8.756937027,undefined,undefined,undefined,undefined,undefined
1.76514E+12,1.789,8.87027359,undefined,undefined,undefined,undefined,undefined
1.76514E+12,1.819,undefined,0.346702456,0.074079156,7.69868803,0.104432002,-0.045872003
1.76514E+12,1.828,8.87027359,undefined,undefined,undefined,undefined,undefined
1.76514E+12,1.848,8.700268745,undefined,undefined,undefined,undefined,undefined
1.76514E+12,1.894,8.756937027,undefined,undefined,undefined,undefined,undefined
1.76514E+12,1.914,8.87027359,undefined,undefined,undefined,undefined,undefined
1.76514E+12,1.919,undefined,-0.04997557,0.074079156,7.68307209,0.120048001,0.025376
1.76514E+12,1.948,8.813605309,undefined,undefined,undefined,undefined,undefined
1.76514E+12,1.981,8.87027359,undefined,undefined,undefined,undefined,undefined
1.76514E+12,2.013,8.756937027,undefined,undefined,undefined,undefined,undefined
1.76514E+12,2.019,undefined,0.233365893,0.074079156,7.63915205,0.159088001,-0.027328001
1.76514E+12,2.049,8.87027359,undefined,undefined,undefined,undefined,undefined
1.76514E+12,2.086,8.813605309,undefined,undefined,undefined,undefined,undefined
1.76514E+12,2.115,8.813605309,undefined,undefined,undefined,undefined,undefined
1.76514E+12,2.119,undefined,0.120029338,-0.023624778,7.645008087,0.063440003,-0.091744006
1.76514E+12,2.151,8.756937027,undefined,undefined,undefined,undefined,undefined
1.76514E+12,2.184,8.813605309,undefined,undefined,undefined,undefined,undefined
1.76514E+12,2.216,8.87027359,undefined,undefined,undefined,undefined,undefined
1.76514E+12,2.219,undefined,0.233365893,-0.267884731,7.584496021,0.101503998,-0.113216005
1.76514E+12,2.251,8.700268745,undefined,undefined,undefined,undefined,undefined
1.76514E+12,2.304,8.473595619,undefined,undefined,undefined,undefined,undefined
1.76514E+12,2.319,undefined,-0.04997557,-0.023624778,7.537647724,0.081983998,-0.016592002
1.76514E+12,2.324,8.473595619,undefined,undefined,undefined,undefined,undefined
1.76514E+12,2.354,8.586932182,undefined,undefined,undefined,undefined,undefined
1.76514E+12,2.388,8.360259056,undefined,undefined,undefined,undefined,undefined
1.76514E+12,2.419,undefined,0.063360989,0.025227189,7.461520195,0.071248002,-0.013664001
1.76514E+12,2.42,8.643600464,undefined,undefined,undefined,undefined,undefined
1.76514E+12,2.456,8.473595619,undefined,undefined,undefined,undefined,undefined
1.76514E+12,2.488,8.473595619,undefined,undefined,undefined,undefined,undefined
1.76514E+12,2.519,undefined,0.290034175,-0.170180798,7.281936169,0.120048001,-0.079056002
1.76514E+12,2.52,8.586932182,undefined,undefined,undefined,undefined,undefined
1.76514E+12,2.553,8.530263901,undefined,undefined,undefined,undefined,undefined
1.76514E+12,2.587,8.530263901,undefined,undefined,undefined,undefined,undefined
1.76514E+12,2.619,8.246922493,0.00669271,-0.121328712,7.276080132,0.090767995,-0.098576002
1.76514E+12,2.655,8.303590775,undefined,undefined,undefined,undefined,undefined
1.76514E+12,2.687,8.190254211,undefined,undefined,undefined,undefined,undefined
1.76514E+12,2.719,undefined,-0.106643848,-0.072476745,7.119919777,0.081983998,-0.090767995
1.76514E+12,2.72,8.020249367,undefined,undefined,undefined,undefined,undefined
1.76514E+12,2.755,8.416927338,undefined,undefined,undefined,undefined,undefined
1.76514E+12,2.787,8.076917648,undefined,undefined,undefined,undefined,undefined
1.76514E+12,2.819,undefined,0.063360989,0.220635056,7.008656025,0.116144001,-0.147376001
