time.3,pressure,Pressure MSL,Pressure AGL,time.15,lat,long,GPS MSL,state
476.427,95051.0,535.86,-0.337891,,,,,
476.629,95049.0,536.034,-0.163513,,,,,
476.827,95053.0,535.683,-0.514954,,,,,
477.027,95053.0,535.683,-0.514954,,,,,
477.227,95052.0,535.772,-0.42511,,,,,
477.428,95049.0,536.034,-0.163513,,,,,
477.628,95049.0,536.034,-0.163513,,,,,
477.828,95051.0,535.86,-0.337891,,,,,
478.028,95054.0,535.595,-0.602112,,,,,
478.227,95050.0,535.947,-0.250732,,,,,
478.427,95050.0,535.947,-0.250732,,,,,
478.627,95051.0,535.86,-0.337891,,,,,
478.827,95051.0,535.86,-0.337891,,,,,
479.027,95049.0,536.034,-0.163513,,,,,
479.228,95052.0,535.772,-0.42511,,,,,
479.431,95051.0,535.86,-0.337891,,,,,
479.628,95050.0,535.947,-0.250732,,,,,
479.827,95051.0,535.86,-0.337891,,,,,
480.028,95047.0,536.208,0.0108643,,,,,
480.227,95048.0,536.121,-0.0762939,,,,,
480.427,95050.0,535.947,-0.250732,,,,,
480.627,95051.0,535.86,-0.337891,,,,,
480.827,95052.0,535.772,-0.42511,,,,,
481.027,95052.0,535.772,-0.42511,,,,,
481.227,95049.0,536.034,-0.163513,,,,,
481.427,95053.0,535.683,-0.514954,,,,,
481.627,95052.0,535.772,-0.42511,,,,,
481.828,95046.0,536.296,0.0980835,,,,,
482.027,95048.0,536.121,-0.0762939,,,,,
482.227,95047.0,536.208,0.0108643,,,,,
482.427,95047.0,536.208,0.0108643,,,,,
482.627,95054.0,535.595,-0.602112,,,,,
482.827,95051.0,535.86,-0.337891,,,,,
483.027,95051.0,535.86,-0.337891,,,,,
483.228,95051.0,535.86,-0.337891,,,,,
483.428,95047.0,536.208,0.0108643,,,,,
483.629,95046.0,536.296,0.0980835,,,,,
483.828,95051.0,535.86,-0.337891,,,,,
484.03,95051.0,535.86,-0.337891,,,,,
484.228,95054.0,535.595,-0.602112,,,,,
484.428,95047.0,536.208,0.0108643,,,,,
484.628,95050.0,535.947,-0.250732,,,,,
484.828,95047.0,536.208,0.0108643,,,,,
485.028,95049.0,536.034,-0.163513,,,,,
485.228,95049.0,536.034,-0.163513,,,,,
485.429,95055.0,535.508,-0.689331,,,,,
485.628,95050.0,535.947,-0.250732,,,,,
485.828,95052.0,535.772,-0.42511,,,,,
486.029,95052.0,535.772,-0.42511,,,,,
486.231,95049.0,536.034,-0.163513,,,,,
486.428,95048.0,536.121,-0.0762939,,,,,
486.629,95052.0,535.772,-0.42511,,,,,
486.828,95054.0,535.595,-0.602112,,,,,
487.029,95049.0,536.034,-0.163513,,,,,
487.228,95048.0,536.121,-0.0762939,,,,,
487.428,95050.0,535.947,-0.250732,,,,,
487.628,95051.0,535.86,-0.337891,,,,,
487.83,95054.0,535.595,-0.602112,,,,,
488.029,95050.0,535.947,-0.250732,,,,,
488.228,95051.0,535.86,-0.337891,,,,,
488.428,95046.0,536.296,0.0980835,,,,,
488.628,95048.0,536.121,-0.0762939,,,,,
488.829,95049.0,536.034,-0.163513,,,,,
489.028,95051.0,535.86,-0.337891,,,,,
489.229,95051.0,535.86,-0.337891,,,,,
489.428,95051.0,535.86,-0.337891,,,,,
489.628,95053.0,535.683,-0.514954,,,,,
489.828,95049.0,536.034,-0.163513,,,,,
490.028,95052.0,535.772,-0.42511,,,,,
490.228,95049.0,536.034,-0.163513,,,,,
490.429,95044.0,536.473,0.275085,,,,,
490.634,95048.0,536.121,-0.0762939,,,,,
490.828,95047.0,536.208,0.0108643,,,,,
491.029,95049.0,536.034,-0.163513,,,,,
491.23,95054.0,535.595,-0.602112,,,,,
491.43,95052.0,535.772,-0.42511,,,,,
491.629,95050.0,535.947,-0.250732,,,,,
491.829,95051.0,535.86,-0.337891,,,,,
492.031,95048.0,536.121,-0.0762939,,,,,
492.229,95046.0,536.296,0.0980835,,,,,
492.429,95048.0,536.121,-0.0762939,,,,,
492.629,95047.0,536.208,0.0108643,,,,,
492.831,95048.0,536.121,-0.0762939,,,,,
493.029,95052.0,535.772,-0.42511,,,,,
493.229,95053.0,535.683,-0.514954,,,,,
493.429,95049.0,536.034,-0.163513,,,,,
493.629,95047.0,536.208,0.0108643,,,,,
493.83,95044.0,536.473,0.275085,,,,,
494.029,95053.0,535.683,-0.514954,,,,,
494.229,95051.0,535.86,-0.337891,,,,,
494.429,95046.0,536.296,0.0980835,,,,,
494.629,95050.0,535.947,-0.250732,,,,,
494.829,95049.0,536.034,-0.163513,,,,,
495.029,95054.0,535.595,-0.602112,,,,,
495.229,95043.0,536.56,0.362305,,,,,
495.429,95051.0,535.86,-0.337891,,,,,
495.629,95050.0,535.947,-0.250732,,,,,
495.829,95047.0,536.208,0.0108643,,,,,
496.031,95046.0,536.296,0.0980835,,,,,
496.229,95051.0,535.86,-0.337891,,,,,
496.429,95050.0,535.947,-0.250732,,,,,
496.629,95056.0,535.421,-0.77655,,,,,
496.829,95044.0,536.473,0.275085,,,,,
497.029,95050.0,535.947,-0.250732,,,,,
497.229,95051.0,535.86,-0.337891,,,,,
497.429,95053.0,535.683,-0.514954,,,,,
497.629,95052.0,535.772,-0.42511,,,,,
497.83,95052.0,535.772,-0.42511,,,,,
498.029,95053.0,535.683,-0.514954,,,,,
498.229,95053.0,535.683,-0.514954,,,,,
498.429,95051.0,535.86,-0.337891,,,,,
498.63,95051.0,535.86,-0.337891,,,,,
498.829,95048.0,536.121,-0.0762939,,,,,
499.03,95051.0,535.86,-0.337891,,,,,
499.231,95045.0,536.385,0.187927,,,,,
499.432,95051.0,535.86,-0.337891,,,,,
499.63,95049.0,536.034,-0.163513,,,,,
499.831,95051.0,535.86,-0.337891,,,,,
500.03,95050.0,535.947,-0.250732,,,,,
500.23,95048.0,536.121,-0.0762939,,,,,
500.432,95047.0,536.208,0.0108643,,,,,
500.63,95049.0,536.034,-0.163513,,,,,
500.831,95052.0,535.772,-0.42511,,,,,
501.031,95052.0,535.772,-0.42511,,,,,
501.23,95046.0,536.296,0.0980835,,,,,
501.43,95051.0,535.86,-0.337891,,,,,
501.63,95049.0,536.034,-0.163513,,,,,
501.83,95043.0,536.56,0.362305,,,,,
502.03,95050.0,535.947,-0.250732,,,,,
502.23,95048.0,536.121,-0.0762939,,,,,
502.43,95051.0,535.86,-0.337891,,,,,
502.631,95045.0,536.385,0.187927,,,,,
502.831,95045.0,536.385,0.187927,,,,,
503.033,95048.0,536.121,-0.0762939,,,,,
503.23,95051.0,535.86,-0.337891,,,,,
503.43,95052.0,535.772,-0.42511,,,,,
503.632,95051.0,535.86,-0.337891,,,,,
503.83,95051.0,535.86,-0.337891,,,,,
504.031,95055.0,535.508,-0.689331,,,,,
504.23,95048.0,536.121,-0.0762939,,,,,
504.43,95052.0,535.772,-0.42511,,,,,
504.636,95049.0,536.034,-0.163513,,,,,
504.83,95049.0,536.034,-0.163513,,,,,
505.03,95049.0,536.034,-0.163513,,,,,
505.231,95049.0,536.034,-0.163513,,,,,
505.43,95044.0,536.473,0.275085,,,,,
505.631,95049.0,536.034,-0.163513,,,,,
505.83,95048.0,536.121,-0.0762939,,,,,
506.03,95052.0,535.772,-0.42511,,,,,
506.23,95053.0,535.683,-0.514954,,,,,
506.43,95043.0,536.56,0.362305,,,,,
506.631,95046.0,536.296,0.0980835,,,,,
506.831,95046.0,536.296,0.0980835,,,,,
507.031,95051.0,535.86,-0.337891,,,,,
507.232,95052.0,535.772,-0.42511,,,,,
507.431,95053.0,535.683,-0.514954,,,,,
507.632,95051.0,535.86,-0.337891,,,,,
507.831,95051.0,535.86,-0.337891,,,,,
508.031,95047.0,536.208,0.0108643,,,,,
508.231,95045.0,536.385,0.187927,,,,,
508.431,95047.0,536.208,0.0108643,,,,,
508.631,95048.0,536.121,-0.0762939,,,,,
508.833,95047.0,536.208,0.0108643,,,,,
509.031,95043.0,536.56,0.362305,,,,,
509.232,95051.0,535.86,-0.337891,,,,,
509.431,95046.0,536.296,0.0980835,,,,,
509.631,95041.0,536.734,0.536682,,,,,
509.832,95047.0,536.208,0.0108643,,,,,
510.031,95053.0,535.683,-0.514954,,,,,
510.231,95049.0,536.034,-0.163513,,,,,
510.431,95051.0,535.86,-0.337891,,,,,
510.632,95049.0,536.034,-0.163513,,,,,
510.831,95051.0,535.86,-0.337891,,,,,
511.031,95050.0,535.947,-0.250732,,,,,
511.231,95050.0,535.947,-0.250732,,,,,
