# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°)
170.754,730.985,-8.106,10.274,0.017,0.563,-191.207,0.701,191.209,270.21,6.312,0.563,28.61,-80.602,NaN,NaN,NaN,NaN,0.42,89.917
171.168,727.631,-8.099,10.413,-0.013,0.047,-193.869,0.701,193.87,270.207,6.545,0.045,28.61,-80.602,NaN,NaN,NaN,NaN,0.42,89.917
171.583,724.275,-8.105,10.406,0.007,0.267,-196.576,0.701,196.578,270.204,6.527,0.267,28.61,-80.602,NaN,NaN,NaN,NaN,0.42,89.917
171.997,720.921,-8.102,10.473,0.004,0.307,-199.3,0.701,199.301,270.201,6.637,0.307,28.61,-80.602,NaN,NaN,NaN,NaN,0.42,89.917
172.41,717.569,-8.1,10.392,0.024,0.705,-202.021,0.701,202.022,270.199,6.51,0.704,28.61,-80.602,NaN,NaN,NaN,NaN,0.42,89.917
172.824,714.219,-8.09,10.569,-0.013,0.43,-204.775,0.7,204.776,270.196,6.802,0.43,28.61,-80.602,NaN,NaN,NaN,NaN,0.42,89.917
173.238,710.868,-8.095,10.689,0.021,0.737,-207.629,0.7,207.63,270.193,6.98,0.737,28.61,-80.602,NaN,NaN,NaN,NaN,0.42,89.917
173.652,707.52,-8.087,10.485,-0.008,0.56,-210.453,0.7,210.454,270.191,6.675,0.56,28.61,-80.602,NaN,NaN,NaN,NaN,0.42,89.917
174.066,704.171,-8.09,10.637,-0.004,0.408,-213.265,0.7,213.266,270.188,6.907,0.408,28.61,-80.602,NaN,NaN,NaN,NaN,0.42,89.917
174.48,700.823,-8.092,10.749,0.011,0.565,-216.158,0.7,216.159,270.185,7.075,0.564,28.61,-80.602,NaN,NaN,NaN,NaN,0.42,89.917
174.893,697.478,-8.087,10.9,-0.003,0.435,-219.132,0.7,219.133,270.183,7.309,0.435,28.61,-80.602,NaN,NaN,NaN,NaN,0.42,89.917
175.307,694.132,-8.089,10.782,-0.006,0.008,-222.117,0.699,222.119,270.18,7.129,0.005,28.61,-80.602,NaN,NaN,NaN,NaN,0.42,89.917
175.721,690.788,-8.091,10.785,0.016,0.507,-225.065,0.699,225.066,270.178,7.131,0.507,28.61,-80.602,NaN,NaN,NaN,NaN,0.42,89.917
176.134,687.446,-8.085,10.92,0.033,0.928,-228.054,0.699,228.055,270.176,7.34,0.927,28.61,-80.602,NaN,NaN,NaN,NaN,0.42,89.917
176.547,684.107,-8.071,10.655,-0.038,0.21,-231.009,0.699,231.01,270.173,6.957,0.206,28.61,-80.602,NaN,NaN,NaN,NaN,0.42,89.917
176.961,680.763,-8.087,10.612,0.025,0.695,-233.871,0.699,233.872,270.171,6.871,0.694,28.61,-80.602,NaN,NaN,NaN,NaN,0.42,89.917
177.374,677.425,-8.076,10.42,-0.018,0.25,-236.65,0.699,236.651,270.169,6.585,0.25,28.61,-80.602,NaN,NaN,NaN,NaN,0.42,89.917
177.787,674.085,-8.084,10.361,0.013,0.507,-239.351,0.698,239.352,270.167,6.482,0.506,28.61,-80.602,NaN,NaN,NaN,NaN,0.42,89.917
178.2,670.749,-8.078,10.489,-0.01,0.057,-242.07,0.698,242.071,270.165,6.691,0.057,28.61,-80.602,NaN,NaN,NaN,NaN,0.42,89.917
178.613,667.411,-8.082,10.477,0.047,0.939,-244.829,0.698,244.83,270.163,6.667,0.938,28.61,-80.603,NaN,NaN,NaN,NaN,0.42,89.917
179.026,664.08,-8.063,10.22,-0.023,0.591,-247.5,0.698,247.501,270.162,6.28,0.59,28.61,-80.603,NaN,NaN,NaN,NaN,0.42,89.917
179.44,660.744,-8.072,10.379,0.047,1.112,-250.148,0.698,250.149,270.16,6.524,1.111,28.61,-80.603,NaN,NaN,NaN,NaN,0.42,89.917
179.852,657.414,-8.053,10.082,-0.059,0.099,-252.747,0.698,252.748,270.158,6.066,0.079,28.61,-80.603,NaN,NaN,NaN,NaN,0.42,89.917
180.266,654.077,-8.077,10.081,0.008,0.324,-255.25,0.698,255.251,270.157,6.033,0.324,28.61,-80.603,NaN,NaN,NaN,NaN,0.42,89.917
180.679,650.747,-8.074,9.999,0.058,1.09,-257.711,0.697,257.712,270.155,5.899,1.088,28.61,-80.603,NaN,NaN,NaN,NaN,0.42,89.917
181.091,647.421,-8.05,10.252,-0.046,0.448,-260.237,0.697,260.238,270.154,6.348,0.446,28.61,-80.603,NaN,NaN,NaN,NaN,0.42,89.917
181.505,644.088,-8.069,10.154,0.103,1.492,-262.824,0.697,262.825,270.152,6.164,1.488,28.61,-80.603,NaN,NaN,NaN,NaN,0.42,89.917
181.917,640.769,-8.027,10.505,-0.002,1.446,-265.493,0.697,265.494,270.15,6.778,1.446,28.61,-80.603,NaN,NaN,NaN,NaN,0.42,89.917
182.332,637.442,-8.027,10.902,-0.101,0.191,-268.426,0.697,268.427,270.149,7.377,0.162,28.61,-80.603,NaN,NaN,NaN,NaN,0.42,89.917
182.746,634.108,-8.069,10.978,0.003,0.149,-271.497,0.697,271.498,270.147,7.444,0.149,28.61,-80.603,NaN,NaN,NaN,NaN,0.42,89.917
183.158,630.783,-8.068,11.019,0.058,1.061,-274.577,0.696,274.578,270.145,7.506,1.059,28.61,-80.603,NaN,NaN,NaN,NaN,0.42,89.917
183.57,627.464,-8.044,10.709,-0.05,0.261,-277.579,0.696,277.58,270.144,7.069,0.256,28.61,-80.603,NaN,NaN,NaN,NaN,0.42,89.917
183.983,624.137,-8.064,10.794,0.037,0.853,-280.521,0.696,280.522,270.142,7.175,0.852,28.61,-80.603,NaN,NaN,NaN,NaN,0.42,89.917
184.395,620.819,-8.049,11.019,-0.031,0.208,-283.549,0.696,283.55,270.141,7.526,0.205,28.61,-80.603,NaN,NaN,NaN,NaN,0.42,89.917
184.807,617.496,-8.062,11.087,0.035,0.817,-286.671,0.696,286.672,270.139,7.611,0.816,28.61,-80.603,NaN,NaN,NaN,NaN,0.42,89.917
185.219,614.179,-8.048,10.848,-0.008,0.664,-289.735,0.696,289.736,270.138,7.275,0.664,28.61,-80.603,NaN,NaN,NaN,NaN,0.42,89.917
185.632,610.86,-8.051,10.669,0.011,0.775,-292.679,0.695,292.679,270.136,7.001,0.775,28.61,-80.603,NaN,NaN,NaN,NaN,0.42,89.917
186.044,607.544,-8.047,10.459,0.027,1.039,-295.497,0.695,295.498,270.135,6.682,1.038,28.61,-80.603,NaN,NaN,NaN,NaN,0.42,89.917
186.456,604.23,-8.035,10.729,-0.01,0.906,-298.339,0.695,298.34,270.133,7.109,0.906,28.61,-80.603,NaN,NaN,NaN,NaN,0.42,89.917
186.868,600.913,-8.039,10.488,0.025,1.12,-301.195,0.695,301.196,270.132,6.736,1.12,28.61,-80.603,NaN,NaN,NaN,NaN,0.42,89.917
187.281,597.601,-8.029,10.19,-0.06,0.101,-303.877,0.695,303.878,270.131,6.274,0.081,28.61,-80.603,NaN,NaN,NaN,NaN,0.42,89.917
187.693,594.283,-8.054,10.23,0.003,0.038,-306.473,0.695,306.473,270.13,6.307,0.038,28.61,-80.603,NaN,NaN,NaN,NaN,0.42,89.917
188.104,590.971,-8.053,10.239,0.009,0.349,-309.07,0.694,309.071,270.129,6.323,0.349,28.61,-80.603,NaN,NaN,NaN,NaN,0.42,89.917
188.516,587.661,-8.049,10.148,0.015,0.598,-311.64,0.694,311.641,270.128,6.18,0.598,28.61,-80.603,NaN,NaN,NaN,NaN,0.42,89.917
188.927,584.352,-8.043,10.294,-0.013,0.212,-314.232,0.694,314.233,270.127,6.426,0.212,28.61,-80.603,NaN,NaN,NaN,NaN,0.42,89.917
189.338,581.042,-8.048,10.353,0.072,1.192,-316.894,0.694,316.894,270.125,6.513,1.19,28.61,-80.603,NaN,NaN,NaN,NaN,0.42,89.917
189.749,577.74,-8.019,10.029,-0.017,1.003,-319.47,0.694,319.471,270.124,6.024,1.002,28.61,-80.603,NaN,NaN,NaN,NaN,0.42,89.917
190.162,574.432,-8.026,10.288,-0.048,0.062,-322.039,0.694,322.04,270.123,6.437,0.04,28.61,-80.603,NaN,NaN,NaN,NaN,0.42,89.917
190.574,571.122,-8.045,10.314,0.013,0.436,-324.694,0.694,324.695,270.122,6.454,0.436,28.61,-80.603,NaN,NaN,NaN,NaN,0.42,89.917
190.984,567.818,-8.04,10.423,0.011,0.595,-327.382,0.693,327.383,270.121,6.633,0.595,28.61,-80.603,NaN,NaN,NaN,NaN,0.42,89.917
191.395,564.515,-8.035,10.577,-0.01,0.317,-330.158,0.693,330.159,270.12,6.877,0.317,28.61,-80.603,NaN,NaN,NaN,NaN,0.42,89.917
191.806,561.212,-8.039,10.495,0.022,0.684,-332.958,0.693,332.959,270.119,6.747,0.684,28.61,-80.603,NaN,NaN,NaN,NaN,0.42,89.917
192.217,557.912,-8.03,10.31,0.05,1.189,-335.671,0.693,335.672,270.118,6.466,1.188,28.61,-80.603,NaN,NaN,NaN,NaN,0.42,89.917
192.628,554.615,-8.01,10.608,-0.068,0.102,-338.429,0.693,338.43,270.117,6.954,0.077,28.61,-80.603,NaN,NaN,NaN,NaN,0.42,89.917
193.04,551.31,-8.038,10.649,0.199,2.021,-341.301,0.693,341.301,270.116,6.986,2.011,28.61,-80.603,NaN,NaN,NaN,NaN,0.42,89.917
193.45,548.028,-7.956,10.062,-0.097,1.375,-343.999,0.692,343.999,270.115,6.161,1.372,28.61,-80.604,NaN,NaN,NaN,NaN,0.42,89.917
193.865,544.722,-7.996,10.451,0.016,1.47,-346.67,0.692,346.671,270.114,6.729,1.47,28.61,-80.604,NaN,NaN,NaN,NaN,0.42,89.917
194.277,541.427,-7.989,10.846,-0.103,0.22,-349.569,0.692,349.57,270.113,7.335,0.194,28.61,-80.604,NaN,NaN,NaN,NaN,0.42,89.917
194.69,538.123,-8.032,10.824,0.147,1.725,-352.579,0.692,352.579,270.112,7.256,1.719,28.61,-80.604,NaN,NaN,NaN,NaN,0.42,89.917
195.1,534.841,-7.972,10.318,-0.111,0.783,-355.41,0.692,355.411,270.112,6.551,0.775,28.61,-80.604,NaN,NaN,NaN,NaN,0.42,89.917
195.513,531.538,-8.018,10.559,-0.027,0.096,-358.183,0.692,358.183,270.111,6.871,0.092,28.61,-80.604,NaN,NaN,NaN,NaN,0.42,89.917
195.924,528.243,-8.029,10.543,0.102,1.417,-360.996,0.691,360.997,270.11,6.833,1.414,28.61,-80.604,NaN,NaN,NaN,NaN,0.42,89.917
196.334,524.96,-7.987,10.897,-0.065,0.779,-363.916,0.691,363.917,270.109,7.413,0.777,28.61,-80.604,NaN,NaN,NaN,NaN,0.42,89.917
196.745,521.664,-8.014,11.136,-0.028,0.064,-367.036,0.691,367.037,270.108,7.733,0.058,28.61,-80.604,NaN,NaN,NaN,NaN,0.42,89.917
197.156,518.373,-8.025,11.128,0.076,1.213,-370.205,0.691,370.206,270.107,7.709,1.211,28.61,-80.604,NaN,NaN,NaN,NaN,0.42,89.917
197.566,515.091,-7.994,10.767,-0.027,0.918,-373.263,0.691,373.263,270.106,7.213,0.918,28.61,-80.604,NaN,NaN,NaN,NaN,0.42,89.917
197.977,511.801,-8.005,10.527,-0.035,0.304,-376.151,0.691,376.152,270.105,6.836,0.302,28.61,-80.604,NaN,NaN,NaN,NaN,0.42,89.917
198.387,508.512,-8.02,10.457,0.007,0.412,-378.932,0.69,378.933,270.104,6.712,0.411,28.61,-80.604,NaN,NaN,NaN,NaN,0.42,89.917
198.797,505.227,-8.017,10.564,-6.589e-4,0.311,-381.716,0.69,381.717,270.104,6.88,0.311,28.61,-80.604,NaN,NaN,NaN,NaN,0.42,89.917
199.207,501.943,-8.017,10.648,0.002,0.274,-384.561,0.69,384.561,270.103,7.008,0.274,28.61,-80.604,NaN,NaN,NaN,NaN,0.42,89.917
199.616,498.66,-8.016,10.721,0.035,0.841,-387.453,0.69,387.454,270.102,7.12,0.84,28.61,-80.604,NaN,NaN,NaN,NaN,0.42,89.917
200.026,495.381,-8.002,10.942,-0.032,0.13,-390.439,0.69,390.44,270.101,7.464,0.126,28.61,-80.604,NaN,NaN,NaN,NaN,0.42,89.917
200.436,492.097,-8.015,10.917,0.003,0.083,-393.489,0.69,393.489,270.1,7.412,0.083,28.61,-80.604,NaN,NaN,NaN,NaN,0.42,89.917
200.845,488.817,-8.014,10.893,0.014,0.477,-396.515,0.689,396.516,270.1,7.378,0.477,28.61,-80.604,NaN,NaN,NaN,NaN,0.42,89.917
201.254,485.539,-8.008,11.022,0.013,0.652,-399.574,0.689,399.575,270.099,7.573,0.652,28.61,-80.604,NaN,NaN,NaN,NaN,0.42,89.917
201.664,482.262,-8.002,10.836,0.099,1.542,-402.62,0.689,402.62,270.098,7.306,1.539,28.61,-80.604,NaN,NaN,NaN,NaN,0.42,89.917
202.073,478.994,-7.962,10.391,-0.113,0.166,-405.482,0.689,405.483,270.097,6.676,0.122,28.61,-80.604,NaN,NaN,NaN,NaN,0.42,89.917
202.485,475.709,-8.008,10.394,0.008,0.309,-408.219,0.689,408.219,270.097,6.626,0.309,28.61,-80.604,NaN,NaN,NaN,NaN,0.42,89.917
202.893,472.434,-8.005,10.473,0.016,0.589,-410.954,0.689,410.955,270.096,6.753,0.589,28.61,-80.604,NaN,NaN,NaN,NaN,0.42,89.917
203.302,469.162,-7.999,10.314,-5.706e-4,0.52,-413.666,0.688,413.667,270.095,6.512,0.52,28.61,-80.604,NaN,NaN,NaN,NaN,0.42,89.917
203.711,465.89,-7.999,10.45,-0.011,0.052,-416.374,0.688,416.375,270.095,6.725,0.051,28.61,-80.604,NaN,NaN,NaN,NaN,0.42,89.917
204.12,462.617,-8.003,10.467,0.003,0.079,-419.128,0.688,419.129,270.094,6.746,0.079,28.61,-80.604,NaN,NaN,NaN,NaN,0.42,89.917
204.529,459.347,-8.002,10.445,0.009,0.357,-421.878,0.688,421.879,270.093,6.713,0.357,28.61,-80.604,NaN,NaN,NaN,NaN,0.42,89.917
204.938,456.079,-7.998,10.536,0.008,0.48,-424.651,0.688,424.651,270.093,6.859,0.48,28.61,-80.604,NaN,NaN,NaN,NaN,0.42,89.917
205.346,452.811,-7.995,10.662,0.095,1.446,-427.494,0.688,427.494,270.092,7.055,1.443,28.61,-80.604,NaN,NaN,NaN,NaN,0.42,89.917
205.755,449.552,-7.956,11.034,-0.094,0.375,-430.497,0.688,430.498,270.092,7.645,0.363,28.61,-80.604,NaN,NaN,NaN,NaN,0.42,89.917
206.165,446.278,-7.994,11.165,0.046,0.993,-433.667,0.687,433.667,270.091,7.794,0.991,28.61,-80.604,NaN,NaN,NaN,NaN,0.42,89.917
206.574,443.016,-7.975,10.872,6.675e-4,0.964,-436.767,0.687,436.768,270.09,7.389,0.964,28.61,-80.604,NaN,NaN,NaN,NaN,0.42,89.917
206.983,439.752,-7.975,10.608,-0.012,0.794,-439.711,0.687,439.711,270.09,6.995,0.794,28.61,-80.605,NaN,NaN,NaN,NaN,0.42,89.917
207.392,436.488,-7.98,10.4,0.001,0.769,-442.506,0.687,442.506,270.089,6.67,0.769,28.61,-80.605,NaN,NaN,NaN,NaN,0.42,89.917
207.801,433.226,-7.98,10.201,-0.027,0.057,-445.168,0.687,445.168,270.088,6.355,0.05,28.61,-80.605,NaN,NaN,NaN,NaN,0.42,89.917
208.21,429.963,-7.99,10.197,0.017,0.523,-447.761,0.687,447.761,270.088,6.335,0.522,28.61,-80.605,NaN,NaN,NaN,NaN,0.42,89.917
208.618,426.705,-7.984,10.325,0.014,0.698,-450.389,0.686,450.389,270.087,6.548,0.698,28.61,-80.605,NaN,NaN,NaN,NaN,0.42,89.917
209.026,423.447,-7.978,10.504,-0.016,0.319,-453.119,0.686,453.12,270.087,6.832,0.318,28.61,-80.605,NaN,NaN,NaN,NaN,0.42,89.917
209.434,420.188,-7.985,10.425,0.07,1.2,-455.883,0.686,455.883,270.086,6.703,1.198,28.61,-80.605,NaN,NaN,NaN,NaN,0.42,89.917
209.842,416.937,-7.956,10.095,-0.056,0.498,-458.517,0.686,458.518,270.086,6.214,0.495,28.61,-80.605,NaN,NaN,NaN,NaN,0.42,89.917
210.251,413.677,-7.979,10.239,-0.009,0.067,-461.101,0.686,461.102,270.085,6.416,0.067,28.61,-80.605,NaN,NaN,NaN,NaN,0.42,89.917
210.659,410.422,-7.983,10.225,0.003,0.015,-463.713,0.686,463.713,270.085,6.389,0.015,28.61,-80.605,NaN,NaN,NaN,NaN,0.42,89.917
211.067,407.168,-7.982,10.22,0.06,1.066,-466.315,0.685,466.316,270.084,6.383,1.065,28.61,-80.605,NaN,NaN,NaN,NaN,0.42,89.917
211.474,403.921,-7.957,10.478,-0.026,0.741,-469.005,0.685,469.005,270.084,6.817,0.741,28.61,-80.605,NaN,NaN,NaN,NaN,0.42,89.917
211.883,400.667,-7.968,10.291,-0.006,0.601,-471.728,0.685,471.729,270.083,6.514,0.601,28.61,-80.605,NaN,NaN,NaN,NaN,0.42,89.917
212.291,397.416,-7.97,10.14,-0.015,0.054,-474.336,0.685,474.336,270.083,6.269,0.052,28.61,-80.605,NaN,NaN,NaN,NaN,0.42,89.917
212.699,394.166,-7.976,10.132,0.04,0.86,-476.887,0.685,476.888,270.082,6.248,0.859,28.61,-80.605,NaN,NaN,NaN,NaN,0.42,89.917
213.106,390.921,-7.96,9.907,-0.033,0.123,-479.36,0.685,479.361,270.082,5.898,0.119,28.61,-80.605,NaN,NaN,NaN,NaN,0.42,89.917
213.514,387.671,-7.974,9.889,0.018,0.545,-481.756,0.685,481.757,270.081,5.849,0.545,28.61,-80.605,NaN,NaN,NaN,NaN,0.42,89.917
213.921,384.426,-7.966,10.016,0.234,2.275,-484.183,0.684,484.183,270.081,6.071,2.263,28.61,-80.605,NaN,NaN,NaN,NaN,0.42,89.917
214.328,381.2,-7.871,10.529,-0.185,1.064,-486.844,0.684,486.844,270.081,6.993,1.048,28.61,-80.605,NaN,NaN,NaN,NaN,0.42,89.917
214.74,377.94,-7.947,10.876,-0.035,0.595,-489.815,0.684,489.815,270.08,7.425,0.594,28.61,-80.605,NaN,NaN,NaN,NaN,0.42,89.917
215.148,374.694,-7.961,10.722,-0.007,0.402,-492.795,0.684,492.796,270.08,7.182,0.402,28.61,-80.605,NaN,NaN,NaN,NaN,0.42,89.917
215.556,371.451,-7.964,10.616,0.162,1.851,-495.687,0.684,495.687,270.079,7.019,1.843,28.61,-80.605,NaN,NaN,NaN,NaN,0.42,89.917
215.963,368.224,-7.898,11.079,-0.161,0.243,-498.696,0.684,498.696,270.079,7.769,0.182,28.61,-80.605,NaN,NaN,NaN,NaN,0.42,89.917
216.373,364.97,-7.965,11.074,0.152,1.755,-501.867,0.683,501.868,270.078,7.694,1.749,28.61,-80.605,NaN,NaN,NaN,NaN,0.42,89.917
216.78,361.744,-7.903,10.546,-0.061,1.303,-504.852,0.683,504.852,270.078,6.983,1.301,28.61,-80.605,NaN,NaN,NaN,NaN,0.42,89.917
217.189,358.501,-7.928,10.22,0.027,1.479,-507.604,0.683,507.604,270.077,6.45,1.479,28.61,-80.605,NaN,NaN,NaN,NaN,0.42,89.917
217.598,355.266,-7.917,9.841,0.106,2.087,-510.114,0.683,510.115,270.077,5.846,2.084,28.61,-80.605,NaN,NaN,NaN,NaN,0.42,89.917
218.006,352.039,-7.873,9.324,-0.207,0.295,-512.329,0.683,512.33,270.076,4.994,0.21,28.61,-80.605,NaN,NaN,NaN,NaN,0.42,89.917
218.417,348.786,-7.958,9.35,0.121,1.556,-514.364,0.683,514.364,270.076,4.908,1.551,28.61,-80.605,NaN,NaN,NaN,NaN,0.42,89.917
218.824,345.563,-7.909,9.655,0.082,2.008,-516.486,0.683,516.486,270.076,5.538,2.006,28.61,-80.605,NaN,NaN,NaN,NaN,0.42,89.917
219.232,342.337,-7.875,10.122,-0.177,0.607,-518.917,0.682,518.918,270.075,6.358,0.58,28.61,-80.605,NaN,NaN,NaN,NaN,0.42,89.917
219.643,339.09,-7.948,10.031,-0.01,0.264,-521.478,0.682,521.478,270.075,6.12,0.264,28.61,-80.605,NaN,NaN,NaN,NaN,0.42,89.917
220.049,335.858,-7.952,9.97,0.07,1.188,-523.944,0.682,523.944,270.075,6.013,1.186,28.61,-80.605,NaN,NaN,NaN,NaN,0.42,89.917
220.455,332.634,-7.924,10.245,-0.066,0.164,-526.484,0.682,526.484,270.074,6.494,0.15,28.61,-80.605,NaN,NaN,NaN,NaN,0.42,89.917
220.863,329.4,-7.951,10.228,0.005,0.236,-529.118,0.682,529.118,270.074,6.433,0.236,28.61,-80.605,NaN,NaN,NaN,NaN,0.42,89.917
221.269,326.173,-7.949,10.286,0.004,0.29,-531.749,0.682,531.749,270.073,6.529,0.29,28.61,-80.605,NaN,NaN,NaN,NaN,0.42,89.917
221.675,322.946,-7.947,10.211,0.002,0.245,-534.375,0.682,534.376,270.073,6.411,0.245,28.61,-80.605,NaN,NaN,NaN,NaN,0.42,89.917
222.081,319.721,-7.946,10.148,0.042,0.912,-536.957,0.681,536.958,270.073,6.312,0.911,28.61,-80.606,NaN,NaN,NaN,NaN,0.42,89.917
222.486,316.499,-7.929,9.909,0.019,1.067,-539.444,0.681,539.444,270.072,5.942,1.067,28.61,-80.606,NaN,NaN,NaN,NaN,0.42,89.917
222.893,313.277,-7.922,9.649,-0.045,0.437,-541.772,0.681,541.772,270.072,5.508,0.434,28.61,-80.606,NaN,NaN,NaN,NaN,0.42,89.917
223.3,310.051,-7.94,9.564,0.067,1.214,-543.976,0.681,543.977,270.072,5.332,1.212,28.61,-80.606,NaN,NaN,NaN,NaN,0.42,89.917
223.706,306.835,-7.913,9.275,-0.041,0.757,-546.04,0.681,546.04,270.071,4.84,0.756,28.61,-80.606,NaN,NaN,NaN,NaN,0.42,89.917
224.113,303.61,-7.929,9.454,0.131,1.791,-548.072,0.681,548.073,270.071,5.147,1.786,28.61,-80.606,NaN,NaN,NaN,NaN,0.42,89.917
224.519,300.402,-7.876,9.825,0.132,2.434,-550.31,0.681,550.31,270.071,5.872,2.431,28.61,-80.606,NaN,NaN,NaN,NaN,0.42,89.917
224.927,297.194,-7.822,10.408,-0.282,0.282,-552.912,0.681,552.913,270.071,6.866,0.003,28.61,-80.606,NaN,NaN,NaN,NaN,0.42,89.917
225.339,293.952,-7.938,10.495,0.049,0.932,-555.736,0.68,555.737,270.07,6.865,0.931,28.61,-80.606,NaN,NaN,NaN,NaN,0.42,89.917
225.744,290.74,-7.919,10.237,-0.031,0.44,-558.441,0.68,558.442,270.07,6.487,0.439,28.61,-80.606,NaN,NaN,NaN,NaN,0.42,89.917
226.15,287.522,-7.931,10.36,-0.007,0.077,-561.112,0.68,561.112,270.069,6.666,0.076,28.61,-80.606,NaN,NaN,NaN,NaN,0.42,89.917
226.555,284.306,-7.934,10.382,0.008,0.311,-563.82,0.68,563.82,270.069,6.697,0.311,28.61,-80.606,NaN,NaN,NaN,NaN,0.42,89.917
226.96,281.093,-7.931,10.299,0.047,0.98,-566.507,0.68,566.508,270.069,6.571,0.979,28.61,-80.606,NaN,NaN,NaN,NaN,0.42,89.917
227.365,277.885,-7.912,10.542,0.016,1.101,-569.249,0.68,569.25,270.068,6.967,1.101,28.61,-80.606,NaN,NaN,NaN,NaN,0.42,89.917
227.771,274.674,-7.905,10.247,-0.055,0.262,-571.987,0.679,571.987,270.068,6.521,0.256,28.61,-80.606,NaN,NaN,NaN,NaN,0.42,89.917
228.177,271.459,-7.928,10.199,0.002,0.188,-574.614,0.679,574.614,270.068,6.417,0.188,28.61,-80.606,NaN,NaN,NaN,NaN,0.42,89.917
228.582,268.25,-7.927,10.247,0.099,1.4,-577.227,0.679,577.228,270.067,6.493,1.397,28.61,-80.606,NaN,NaN,NaN,NaN,0.42,89.917
228.987,265.049,-7.887,10.584,-0.086,0.401,-579.97,0.679,579.97,270.067,7.058,0.391,28.61,-80.606,NaN,NaN,NaN,NaN,0.42,89.917
229.394,261.834,-7.922,10.717,0.03,0.829,-582.873,0.679,582.873,270.067,7.217,0.828,28.61,-80.606,NaN,NaN,NaN,NaN,0.42,89.917
229.799,258.63,-7.91,10.485,-0.027,0.316,-585.726,0.679,585.727,270.066,6.882,0.315,28.61,-80.606,NaN,NaN,NaN,NaN,0.42,89.917
230.204,255.422,-7.921,10.577,-2.993e-4,0.186,-588.541,0.679,588.542,270.066,7.01,0.186,28.61,-80.606,NaN,NaN,NaN,NaN,0.42,89.917
230.608,252.218,-7.921,10.527,0.095,1.376,-591.362,0.678,591.362,270.066,6.934,1.373,28.61,-80.606,NaN,NaN,NaN,NaN,0.42,89.917
231.013,249.022,-7.882,10.873,-0.091,0.105,-594.279,0.678,594.279,270.065,7.49,0.054,28.61,-80.606,NaN,NaN,NaN,NaN,0.42,89.917
231.419,245.812,-7.919,10.885,0.016,0.498,-597.318,0.678,597.318,270.065,7.468,0.498,28.61,-80.606,NaN,NaN,NaN,NaN,0.42,89.917
231.824,242.611,-7.913,10.743,0.029,0.874,-600.296,0.678,600.297,270.065,7.266,0.873,28.61,-80.606,NaN,NaN,NaN,NaN,0.42,89.917
232.228,239.413,-7.901,10.499,-0.033,0.218,-603.164,0.678,603.165,270.064,6.913,0.215,28.61,-80.606,NaN,NaN,NaN,NaN,0.42,89.917
232.633,236.21,-7.914,10.566,0.002,0.17,-605.981,0.678,605.982,270.064,7,0.17,28.61,-80.606,NaN,NaN,NaN,NaN,0.42,89.917
233.037,233.012,-7.914,10.611,0.132,1.631,-608.825,0.677,608.825,270.064,7.069,1.625,28.61,-80.606,NaN,NaN,NaN,NaN,0.42,89.917
233.441,229.825,-7.86,10.144,-0.089,0.869,-611.549,0.677,611.549,270.063,6.412,0.864,28.61,-80.606,NaN,NaN,NaN,NaN,0.42,89.917
233.848,226.621,-7.896,10.397,-0.014,0.646,-614.228,0.677,614.228,270.063,6.764,0.646,28.61,-80.606,NaN,NaN,NaN,NaN,0.42,89.917
234.253,223.424,-7.902,10.573,0.003,0.654,-617.018,0.677,617.019,270.063,7.025,0.654,28.61,-80.606,NaN,NaN,NaN,NaN,0.42,89.917
234.657,220.229,-7.901,10.398,-0.016,0.222,-619.805,0.677,619.806,270.063,6.761,0.221,28.61,-80.606,NaN,NaN,NaN,NaN,0.42,89.917
235.061,217.034,-7.907,10.345,0.059,1.08,-622.52,0.677,622.52,270.062,6.671,1.078,28.61,-80.606,NaN,NaN,NaN,NaN,0.42,89.917
235.465,213.846,-7.883,10.614,-0.055,0.063,-625.302,0.676,625.302,270.062,7.107,0.03,28.61,-80.606,NaN,NaN,NaN,NaN,0.42,89.917
235.87,210.65,-7.906,10.622,0.049,0.958,-628.177,0.676,628.177,270.062,7.095,0.956,28.61,-80.606,NaN,NaN,NaN,NaN,0.42,89.917
236.274,207.463,-7.886,10.353,-0.029,0.518,-630.962,0.676,630.963,270.061,6.708,0.517,28.61,-80.606,NaN,NaN,NaN,NaN,0.42,89.917
236.678,204.271,-7.898,10.499,0.007,0.592,-633.718,0.676,633.718,270.061,6.918,0.592,28.61,-80.606,NaN,NaN,NaN,NaN,0.42,89.917
237.082,201.082,-7.895,10.656,0.002,0.576,-636.559,0.676,636.56,270.061,7.157,0.576,28.61,-80.607,NaN,NaN,NaN,NaN,0.42,89.917
237.486,197.895,-7.894,10.813,0.047,1.105,-639.496,0.676,639.497,270.061,7.389,1.104,28.61,-80.607,NaN,NaN,NaN,NaN,0.42,89.917
237.889,194.711,-7.875,10.499,-0.033,0.701,-642.389,0.676,642.39,270.06,6.943,0.7,28.61,-80.607,NaN,NaN,NaN,NaN,0.42,89.917
