Time,Time Reference(milisecond),Time Reference(seconds),fc1BaroValuesAltitude.distinct,fc1GpsValuesAltitude.distinct,fc1GpsValuesLongitude.distinct,fc1GpsValuesLatitude.distinct,fc1LowImuValuesAccelX.distinct,fc1LowImuValuesAccelY.distinct,fc1LowImuValuesAccelZ.distinct,fc1LowImuValuesGyroX.distinct,fc1LowImuValuesGyroY.distinct,fc1LowImuValuesGyroZ.distinct
1.76514E+12,101286,101.286,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,101287,101.287,undefined,881.2190552,-117.8119965,35.34518051,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,101288,101.288,undefined,undefined,undefined,undefined,-0.020496,-0.646112025,1.079456091,317.9400024,-45.08000183,-138.6699982
1.76514E+12,101291,101.291,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,101296,101.296,undefined,undefined,undefined,undefined,-0.020496,-0.646112025,1.079456091,317.9400024,-45.08000183,-138.6699982
1.76514E+12,101301,101.301,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,101306,101.306,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,101311,101.311,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,101313,101.313,906.1997681,880.4520264,-117.8119965,35.34518051,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,101314,101.314,undefined,undefined,undefined,undefined,-0.078079998,-0.291824013,0.931104004,393.2600098,-47.04000092,-142.9400024
1.76514E+12,101316,101.316,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,101321,101.321,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,101322,101.322,undefined,undefined,undefined,undefined,0.008784001,-0.105408005,0.889135957,364.8399963,-68.25,-162.0500031
1.76514E+12,101326,101.326,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,101330,101.33,undefined,undefined,undefined,undefined,-0.074176006,-0.036111999,0.640255988,282.8699951,-92.12000275,-186.5500031
1.76514E+12,101331,101.33099999999999,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,101336,101.336,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,101341,101.341,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,101344,101.34400000000001,undefined,879.6860352,-117.8119965,35.34518051,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,101345,101.345,undefined,undefined,undefined,undefined,-0.072223999,0.023424,1.174128056,187.1100006,-100.0299988,-200.8300018
1.76514E+12,101346,101.346,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,101351,101.351,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,101353,101.353,undefined,undefined,undefined,undefined,0.00488,0.067344002,0.366976023,84.76999664,-73.22000122,-198.7299957
