time,acceleration,time,lat. X accel.,lat. Y accel.,time,Gyro X,Gyro Y,Gyro Z,time,pressure,Pressure MSL,Pressure AGL,time,A Voltage,time,B Voltage,time,C Voltage,time,D Voltage,time,Mag X,Mag Y,Mag Z,time,eject. bat. voltage,time,comp. bat. voltage,time,state,A cont.,B cont.,C cont.,D cont.,A on., B on,C on,D on,time, QX, QY, QZ, QW, Angle,time,temperature,time,GPS Time of Week, valid leap seconds, leap seconds,time,lat,long,GPS MSL,SVs
2.891,1.03906,2.893,-0.0117188,-0.015625,2.894,0,-0.14,0,5.785,95059,535.157,-1.04077,14.461,3.3,14.464,3.3,14.465,3.3,14.465,3.3,28.904,-0.000168,-0.000144,-0.000307,28.907,8.34172,28.91,8.32873,28.911,Pad,1,1,1,1,0,0,0,0,28.915,-0.706,-0.708,0.0119,-0.000275,178,144.507,28.18,144.509,74537400,1,18,84.1173,35.346918,-117.80914,638.63702,22
2.995,1.04297,2.996,-0.015625,-0.015625,2.996,0.07,-0.07,-0.07,5.985,95056,535.421,-0.77655,14.961,3.3,14.962,3.3,14.965,3.3,14.965,3.3,29.904,-0.000168,-0.000144,-0.000307,29.907,8.35146,29.909,8.33848,29.911,Pad,1,1,1,1,0,0,0,0,29.915,-0.706,-0.708,0.0124,-0.000824,178,149.508,28.22,149.51,74542600,1,18,86.1042,35.346918,-117.80914,638.56903,22
3.091,1.03516,3.093,-0.0117188,-0.015625,3.094,0.07,-0.21,0.07,6.185,95058,535.247,-0.950928,15.461,3.3,15.462,3.3,15.465,3.3,15.465,3.3,30.904,-0.000171,-0.000144,-0.000302,30.908,8.34497,30.909,8.33198,30.911,Pad,1,1,1,1,0,0,0,0,30.915,-0.706,-0.708,0.0107,-0.000275,179,154.507,28.28,154.51,74547600,1,18,88.0542,35.346918,-117.80914,638.61102,22
3.192,1.04688,3.192,-0.015625,-0.0195312,3.194,0.14,-0.07,0,6.385,95058,535.247,-0.950928,15.964,3.3,15.964,3.3,15.965,3.3,15.965,3.3,31.904,-0.000168,-0.000144,-0.000307,31.907,8.34497,31.909,8.33198,31.912,Pad,1,1,1,1,0,0,0,0,31.918,-0.706,-0.708,0.0117,0.00116,179,159.508,28.32,159.511,74552800,1,18,90.0602,35.346918,-117.80914,638.58905,22
3.292,1.03125,3.293,-0.015625,-0.015625,3.294,0,-0.21,0,6.585,95058,535.247,-0.950928,16.463,3.3,16.464,3.3,16.464,3.3,16.464,3.3,32.904,-0.000171,-0.000144,-0.000307,32.908,8.35146,32.908,8.33848,32.91,Pad,1,1,1,1,0,0,0,0,32.916,-0.706,-0.708,0.0114,-0.000763,179,164.508,28.36,164.517,74557800,1,18,91.9532,35.346918,-117.80914,638.52905,23
3.391,1.03516,3.392,-0.0195312,-0.015625,3.394,0,-0.14,-0.14,6.785,95060,535.07,-1.12793,16.963,3.3,16.963,3.3,16.963,3.3,16.964,3.3,33.905,-0.000171,-0.000144,-0.000307,33.908,8.34172,33.909,8.32873,33.911,Pad,1,1,1,1,0,0,0,0,33.915,-0.706,-0.708,0.0117,0.000671,178,169.509,28.39,169.512,74563000,1,18,93.9231,35.346918,-117.80914,638.526,23
3.491,1.03125,3.492,-0.015625,-0.0195312,3.493,0.07,-0.14,0,6.985,95054,535.595,-0.602112,17.461,3.3,17.463,3.3,17.464,3.3,17.464,3.3,34.904,-0.000174,-0.000144,-0.000304,34.908,8.35146,34.908,8.34172,34.911,Pad,1,1,1,1,0,0,0,0,34.916,-0.706,-0.708,0.0122,0.00125,179,174.511,28.42,174.512,74568000,1,18,95.8781,35.346918,-117.80914,638.48901,25
3.592,1.04688,3.593,-0.015625,-0.015625,3.593,0.21,-0.07,-0.07,7.185,95053,535.683,-0.514954,17.961,3.3,17.962,3.3,17.965,3.3,17.967,3.3,35.904,-0.000171,-0.000144,-0.000304,35.907,8.34172,35.91,8.32873,35.91,Pad,1,1,1,1,0,0,0,0,35.915,-0.707,-0.708,0.0102,-0.000671,179,179.51,28.47,179.514,74573200,1,18,97.8901,35.346918,-117.80914,638.46002,25
3.691,1.02734,3.692,-0.015625,-0.015625,3.694,0.14,-0.14,0,7.38599,95060,535.07,-1.12793,18.461,3.3,18.462,3.3,18.465,3.3,18.466,3.3,36.9039,-0.000171,-0.000144,-0.000304,36.9069,8.35146,36.9079,8.34172,36.9119,Pad,1,1,1,1,0,0,0,0,36.9159,-0.706,-0.708,0.0123,0.00131,179,184.51,28.53,184.514,74578200,1,18,99.824,35.346918,-117.80914,638.38403,25
3.791,1.04297,3.793,-0.015625,-0.015625,3.793,0.07,-0.14,-0.07,7.58499,95055,535.508,-0.689331,18.961,3.3,18.964,3.3,18.964,3.3,18.964,3.3,37.9039,-0.000174,-0.000144,-0.00031,37.9069,8.33848,37.9079,8.32873,37.9099,Pad,1,1,1,1,0,0,0,0,37.9149,-0.706,-0.708,0.0107,-0.000305,179,189.511,28.57,189.514,74583400,1,18,101.806,35.346918,-117.80914,638.31305,25
3.891,1.03906,3.892,-0.0195312,-0.0195312,3.894,0.14,-0.14,0,7.78499,95056,535.421,-0.77655,19.463,3.3,19.464,3.3,19.464,3.3,19.464,3.3,38.9039,-0.000171,-0.000144,-0.00031,38.9069,8.35146,38.9089,8.33848,38.9109,Pad,1,1,1,1,0,0,0,0,38.9159,-0.706,-0.708,0.0104,-0.00107,179,194.512,28.62,194.515,74588400,1,18,103.725,35.346917,-117.80914,638.21204,25
3.991,1.03906,3.992,-0.0195312,-0.0117188,3.994,0,-0.14,0,7.98499,95059,535.157,-1.04077,19.961,3.3,19.962,3.3,19.965,3.3,19.966,3.3,39.9049,-0.000168,-0.000144,-0.000307,39.9069,8.33848,39.9089,8.32549,39.9099,Pad,1,1,1,1,0,0,0,0,39.9149,-0.707,-0.708,0.00946,-0.00189,179,199.513,28.66,199.516,74593600,1,18,105.674,35.346917,-117.80914,638.10706,25
4.091,1.04688,4.094,-0.0195312,-0.0195312,4.094,0.07,-0.14,0,8.18599,95058,535.247,-0.950928,20.462,3.3,20.462,3.3,20.463,3.3,20.465,3.3,40.9049,-0.000171,-0.000143,-0.000304,40.9079,8.35146,40.9079,8.33848,40.9109,Pad,1,1,1,1,0,0,0,0,40.9149,-0.707,-0.708,0.0101,-0.000763,179,204.513,28.71,204.515,74598600,1,18,107.668,35.346917,-117.80913,638.00104,25
4.191,1.03516,4.194,-0.015625,-0.015625,4.194,0.14,-0.14,-0.07,8.38499,95057,535.334,-0.863708,20.964,3.3,20.964,3.3,20.964,3.3,20.964,3.3,41.9039,-0.000171,-0.000144,-0.000307,41.9069,8.33848,41.9079,8.32873,41.9109,Pad,1,1,1,1,0,0,0,0,41.9149,-0.707,-0.708,0.0117,0.000427,179,209.513,28.76,209.516,74603800,1,18,109.623,35.346917,-117.80913,637.85706,25
4.291,1.03906,4.292,-0.0195312,-0.015625,4.293,0.21,-0.14,0,8.58599,95062,534.895,-1.30237,21.462,3.3,21.463,3.3,21.463,3.3,21.464,3.3,42.9049,-0.000171,-0.000144,-0.000307,42.9079,8.35146,42.9089,8.33848,42.9099,Pad,1,1,1,1,0,0,0,0,42.9189,-0.706,-0.708,0.01,-0.000702,179,214.514,28.81,214.516,74608800,1,18,111.592,35.346917,-117.80913,637.75604,25
4.391,1.04688,4.393,-0.015625,-0.0117188,4.393,0.07,-0.07,0,8.78699,95054,535.595,-0.602112,21.962,3.3,21.963,3.3,21.963,3.3,21.964,3.3,43.9038,-0.000171,-0.000144,-0.000304,43.9078,8.33848,43.9078,8.32873,43.9108,Pad,1,1,1,1,0,0,0,0,43.9158,-0.706,-0.708,0.0103,-0.000671,179,219.515,28.84,219.518,74613800,1,18,113.538,35.346916,-117.80913,637.66803,25
