time,lat,long,GPS MSL,SVs
366.32,35.346919,-117.80914,637.15002,27
368.273,35.346919,-117.80914,637.16602,27
370.235,35.346919,-117.80914,637.15802,26
372.202,35.346919,-117.80914,637.20001,27
374.176,35.346919,-117.80914,637.23401,27
376.118,35.34692,-117.80914,637.25104,27
378.085,35.34692,-117.80914,637.242,27
380.03,35.34692,-117.80914,637.25903,25
381.992,35.34692,-117.80914,637.28802,25
383.94,35.34692,-117.80914,637.32306,26
385.947,35.34692,-117.80914,637.38702,27
387.896,35.34692,-117.80914,637.39905,27
389.834,35.34692,-117.80914,637.38702,26
391.78,35.34692,-117.80914,637.37103,27
393.724,35.34692,-117.80914,637.31805,27
395.697,35.34692,-117.80914,637.26202,27
397.683,35.34692,-117.80914,637.216,27
399.63,35.34692,-117.80914,637.10803,27
401.621,35.34692,-117.80914,637.05402,27
403.575,35.34692,-117.80914,636.94806,27
405.511,35.34692,-117.80914,636.81403,27
407.484,35.34692,-117.80914,636.716,27
409.458,35.34692,-117.80914,636.62103,27
411.419,35.34692,-117.80914,636.44305,27
413.35,35.34692,-117.80914,636.31403,26
415.292,35.34692,-117.80914,636.19305,27
417.255,35.34692,-117.80914,636.06305,27
419.21,35.34692,-117.80914,635.89606,27
421.208,35.34692,-117.80914,635.74805,27
423.162,35.34692,-117.80914,635.59204,27
425.128,35.34692,-117.80914,635.40906,27
427.127,35.34692,-117.80914,635.25903,27
429.076,35.34692,-117.80914,635.13202,27
431.027,35.346919,-117.80914,634.992,27
433.014,35.346919,-117.80914,634.88403,27
434.959,35.346919,-117.80914,634.78503,27
436.913,35.346919,-117.80914,634.68506,27
438.907,35.346919,-117.80914,634.55505,27
440.844,35.346919,-117.80914,634.41003,27
442.802,35.346919,-117.80914,634.26501,27
444.762,35.346918,-117.80914,634.09802,25
446.724,35.346919,-117.80914,633.94104,27
448.712,35.346918,-117.80914,633.80701,27
450.668,35.346919,-117.80914,633.68005,27
452.625,35.346919,-117.80914,633.565,26
454.586,35.346919,-117.80914,633.38605,26
456.557,35.346918,-117.80914,633.25403,27
458.521,35.346919,-117.80914,633.11902,27
460.478,35.346918,-117.80914,632.98303,26
462.437,35.346919,-117.80914,632.84802,26
464.377,35.346919,-117.80914,632.74005,26
466.332,35.346919,-117.80914,632.62006,26
468.316,35.346919,-117.80914,632.49005,27
470.276,35.346919,-117.80914,632.37604,27
472.224,35.346919,-117.80914,632.23505,27
474.2,35.346919,-117.80914,632.07404,27
476.173,35.346919,-117.80914,631.93604,26
